iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
10,13.621557712554932,3.8524346281966575,34.23716435384916,402.8242651294527,-11.133406994949919,0.5,43.19132661819458,0.04469973,0.00032069875,-0.8987715903465452,0.5,40000,10.359730958938599,0.8648372186689389,0.6659340333563095,1.0228036064600248,0.0
11,13.558112144470215,0.36495829308058814,15.654447453793246,88.8803793980736,-15.29373654411531,0.0,43.642359018325806,0.032663807,0.00028611056,-0.7723986020038318,0.0,40000,16.31550884246826,0.990341648795238,0.5991632716282453,-0.8919476404224934,0.0
12,14.332341432571411,9.11491875685856,34.57467030715552,309.28796235147394,-11.244763848270743,0.0,35.984726428985596,0.03794173,0.00027365895,0.21633313388240738,0.0,40000,7.313286781311035,0.6384194355946148,0.5154621211581751,19.774080122790014,4.0
13,13.733653545379639,3.670218129663455,24.184333630655697,169.58342913387182,-17.91180836334834,0.0,46.51062750816345,0.037138324,0.00034909704,0.5617216334605122,0.0,40000,9.18043851852417,0.7233834714579426,0.6678396250756606,1.8602877908004916,0.0
14,13.735690355300903,11.849214869329922,55.74434483464096,436.54087716962306,-18.630152049476393,0.5,45.87188744544983,0.041619383,0.00030092298,1.6904709570474532,0.5,40000,15.345130443572998,0.7728198404906247,0.5754914363522247,6.18856639950105,0.0
15,16.83025813102722,9.624880772041386,44.58189333256164,363.5027753849498,-17.209442905537628,1.0,48.2520649433136,0.03710079,0.00030810974,2.4839119385468464,1.0,40000,10.749993324279785,0.7542924029173247,0.6111052963736705,8.54176805152125,0.0
16,21.749014377593994,19.143448366635262,65.24787231841493,475.75408209640955,-13.655775102195834,1.5,34.21915006637573,0.037621316,0.00027062753,4.149865581355688,1.5,40000,9.214006185531616,0.7383509715904286,0.6397865319086582,12.786585203059287,0.0
17,14.573484659194946,15.737634056071483,55.88897242569096,474.012616875207,-14.414587503768866,0.5,24.731627225875854,0.036445376,0.0003046335,5.308642428827268,0.5,40000,13.722907781600952,0.6639240119642391,0.5528923665496555,9.893777161004406,0.0
18,14.157429695129395,20.125513594546888,68.04411010051841,665.0333357379817,-17.37557779460523,1.0,77.8914041519165,0.036071878,0.00031728676,6.79032954539923,1.0,40000,19.0440354347229,0.753331828860564,0.6281327129713096,3.856334440584787,0.0
19,15.351863622665405,21.166951591790212,80.39253408151221,746.6220106655962,-12.784984435379437,1.0,52.423587799072266,0.0386324,0.00028476154,8.227991750038328,1.0,40000,12.137285947799683,0.7415124484557294,0.6140655818086126,1.4056649606296878,0.0
20,15.096108198165894,34.545569860337174,96.54921586687107,811.5591084888068,-15.970487542099962,2.0,25.056586265563965,0.034997378,0.00026556116,10.859749561068213,2.0,40000,20.75076174736023,0.7152492470260887,0.5953911980315438,13.25990529829769,0.0
21,15.652062892913818,32.975890857190635,92.37262966272931,862.8123984893015,-14.077811198124344,2.0,27.569952964782715,0.04407826,0.0002877161,13.071363690680457,2.0,40000,9.980385780334473,0.682575534810135,0.5632904200954016,11.768254192034409,0.0
22,24.246726512908936,52.26448373856063,122.50357897862817,719.4162367047606,-14.192194161855044,2.5,40.440179109573364,0.039618175,0.00032898123,16.990675695468475,2.5,40000,7.4905335903167725,0.7194934699814759,0.5932291275273693,14.543499979355317,0.0
23,18.965919494628906,67.21869271824707,166.36782815182957,1401.8218813803294,-14.616984825802364,4.5,41.982911109924316,0.042234227,0.00027961147,22.013477397746335,4.5,40000,9.880553245544434,0.7098165106943696,0.6088478978598214,17.50875516913645,0.0
24,17.234548330307007,41.66073784909335,111.26975198283269,866.1907779901416,-15.720669597823127,1.5,41.538615703582764,0.040800724,0.00031295858,23.97820344288104,1.5,40000,7.770047903060913,0.8206455209571523,0.6079645946746329,46.528959686384205,4.0
